fraudador;idade_clie;score
0;2153;0,03899586
0;2078;0,000282495
0;2192;0,43684163
0;1831;0,077277689
0;2066;0,004950974
0;1947;0,153615186
0;2061;0,015429868
0;2182;0,097526461
0;2160;0,136459047
0;1943;0,0973234
0;2156;0,024076791
0;2167;0,006028711
0;2201;0,019301237
0;2201;8,49035E-05
0;2017;0,025235338
0;2085;0,009725043
0;2188;0,029661304
0;2011;0,010210367
0;2001;0,027124715
0;1668;0,086195064
0;1724;0,024770587
0;1902;0,251142423
0;1877;0,096633748
0;1705;0,07980965
0;1772;0,01989925
0;1757;0,037060065
0;1687;0,001040472
0;1663;0,020494148
0;1583;0,019372037
0;1602;0,247649558
0;1470;0,007789604
0;1545;0,194476829
0;1527;0,006281416
0;1497;0,000906214
0;1408;0,125485012
0;381;0,016219296
0;1430;0,453158476
0;1083;0,018270706
0;1308;0,071362304
0;1229;0,297057706
0;953;0,054927829
0;1046;0,11161479
0;1025;0,591879456
0;994;0,054227814
0;1180;0,001665904
0;1173;0,034062022
0;1155;0,338387574
0;1126;0,047759609
0;1131;0,000310164
0;1128;0,000240944
0;1080;9,3215E-05
0;1096;0,186789764
0;1029;0,12975929
0;1076;0,059873724
0;1086;0,015412454
0;1088;0,050317906
0;1075;0,076643661
0;1041;0,045541864
0;908;0,421483024
0;887;0,155848528
0;869;0,078177451
0;281;0,291876759
0;998;0,036782906
0;168;0,175893447
0;994;0,016144238
0;840;0,13749993
0;846;0,000773114
0;804;0,037103294
0;622;0,28468305
0;813;0,164782011
0;806;0,124871358
0;639;0,05843978
0;678;0,149793213
0;770;0,438275697
0;525;0,180785063
0;654;0,948845865
0;616;0,276837849
0;761;0,155751421
0;713;0,009651507
0;712;0,04130629
0;495;0,164074818
0;551;0,006988308
0;701;0,146126807
0;650;0,003518379
0;418;0,490758515
0;620;0,049202505
0;638;0,025115904
0;636;0,999999991
0;620;0,080546425
0;391;0,272454581
0;356;0,267365592
0;589;0,08446253
0;636;0,043767724
0;554;0,046781379
0;540;0,291454415
0;52;0,292201863
0;580;0,028500472
0;481;0,10295475
0;499;0,052265912
0;595;0,3051056
0;276;0,045927977
0;400;0,022592952
0;531;0,199921867
0;552;0,017262241
0;336;0,895558137
0;259;0,029033044
0;338;0,01406695
0;533;0,00460179
0;449;0,184217822
0;454;0,050541666
0;416;0,187921519
0;332;0,122648466
0;476;0,26437934
0;413;0,308556803
0;312;0,766180988
0;346;0,088367037
0;428;0,090520444
0;463;0,112591312
0;414;0,457177985
0;195;0,1275723
0;315;0,139777566
0;439;0,012922499
0;173;0,286233801
0;337;0,329799339
0;375;0,016808387
0;349;0,403968096
0;413;0,467310718
0;223;3,88486E-06
0;176;0,187360022
0;79;0,367612226
0;256;0,765254568
0;245;0,000288709
0;323;0,380125686
0;350;0,083007806
0;308;0,102547228
0;140;0,098271214
0;206;0,9734227
0;119;0,394215552
0;334;0,198701144
0;168;0,375284747
0;326;0,091837239
0;249;0,226257733
0;227;0,037000025
0;288;0,127800921
0;108;0,166892751
0;281;0,128009369
0;261;0,000752093
0;267;0,082305616
0;265;0,106369757
0;199;0,017733473
0;180;0,060458656
0;260;0,006560231
0;160;0,521305544
0;187;0,144719964
0;149;0,234532993
0;14;0,043635153
0;222;0,269532936
0;1;0,999996293
0;197;0,497606476
0;125;0,230081676
0;83;0,020417685
0;149;0,170732618
0;205;0,00570994
0;166;0,368573418
0;142;0,718541396
0;189;0,00174305
0;184;0,036659459
1;328;0,999926257
1;151;0,93708422
1;695;0,147444133
1;504;0,631211611
1;423;0,434940464
1;1579;0,442951889
1;386;0,368714999
1;100;0,771841512
1;914;0,331974417
1;190;0,998473108
1;405;0,999117602
1;680;0,035053059
1;526;0,086057627
1;455;0,936875441
1;232;0,501300523
1;182;0,403269508
1;837;0,532353488
1;933;0,896289192
1;160;0,912208218
1;633;0,614049496
1;190;0,997809561
1;713;0,100494943
1;1;0,999279444
1;826;0,150959223
1;59;0,998924132
1;77;0,153492962
1;80;0,798225766
1;326;0,306529326
1;13;0,461324436
1;792;0,164239635
1;598;0,653819887
1;57;0,987785024
1;34;0,857615357
1;1;0,965566862
1;236;0,707279617
1;385;0,663026472
1;105;0,337028966
1;110;0,387520878
1;40;0,234253643
1;227;0,999981447
1;12;0,196289315
